body_temperature,milk_production,respiratory_rate,walking_capacity,sleeping_duration,body_condition_score,heart_rate,eating_duration,lying_down_duration,ruminating,rumen_fill,health_status
39.4,5.1,14,12815,4.5,4,42,3.1,14.8,7,3,healthy
37.9,13.5,38,11332,4.8,4,81,2.1,13.1,7,3,healthy
37.7,25.6,28,13053,4.2,2,81,2.2,11.6,7,3,healthy
37.7,16.2,29,12142,4,1,83,3,11.8,6.2,3,healthy
37.7,24.8,49,13191,3.8,3,83,3.2,11.8,7,3,healthy
39.4,14.3,16,11657,7.2,4,51,2.4,15.4,5.3,2,unhealthy
39.5,14.1,16,5004,4.3,3,41,3,15.6,5.4,3,healthy
39.2,12.4,14,5740,7.2,3,47,3,16.1,4.6,3,unhealthy
37.9,16.8,21,13129,5.1,1,83,2.5,11.7,7,5,healthy
38.1,22.2,31,11374,7,2,79,2.1,13.3,6.7,3,healthy
39.4,12.9,21,5133,7.2,1,40,1.3,14.2,5,3,unhealthy
39.1,10.8,14,5871,6.5,3,39,1.3,14.1,3.9,3,unhealthy
37.7,14.3,29,13257,4,1,75,3.2,11.5,7,3,healthy
37.9,15.8,32,12357,3.7,3,61,1.4,11.8,6.2,4,healthy
39,16,25,12009,4.2,4,55,2.5,11.6,5.9,3,unhealthy
38,14.4,19,12297,4,1,62,2.6,13.9,6.3,3,unhealthy
37.9,25.9,29,13123,3.9,3,82,2,11.9,6.3,3,healthy
37.7,14.2,14,13036,4.3,4,53,2.4,12.3,7,3,unhealthy
37.9,20.9,20,12189,4.8,2,65,1.8,13.9,7,2,healthy
39.5,12.2,21,6442,7.2,1,45,1.3,13.4,3.9,3,unhealthy
39,9.5,14,5004,7.2,3,37,1.3,15.4,5.6,2,unhealthy
39.8,5.1,17,5224,7.2,3,45,2.3,15.3,4.4,2,unhealthy
37.7,19.9,17,12996,4.9,2,83,3.8,11.5,7,3,healthy
38.9,10.7,14,5004,7,3,37,1.3,14.9,4.1,2,unhealthy
39.6,12.6,26,5951,7.2,4,45,2.1,14.3,6.6,3,unhealthy
38.1,24.3,47,12530,4.6,2,70,3.4,12.9,6.5,3,healthy
39.2,12.5,14,7145,7.2,3,40,2.4,15.7,5.2,3,unhealthy
38,13.8,24,5450,7.2,2,52,1.6,12.5,7,3,healthy
39.6,14.6,15,9346,4.7,3,71,1.6,12.6,5.8,3,unhealthy
39.1,11,14,6747,4.1,2,42,1.3,14.5,4.8,3,healthy
38.8,7,19,5903,6.7,2,48,1.9,13.4,4.6,2,unhealthy
38.9,17.9,15,6338,6.9,3,47,1.3,14.8,4.4,2,unhealthy
39,13.5,14,13176,3.9,3,49,4.2,12.7,7,3,healthy
37.7,21.1,24,11844,4.6,1,83,3.7,11.2,7,5,healthy
38.1,11.4,18,12410,6.5,1,42,2.1,6,5.1,3,healthy
39.4,5.8,14,5575,5.2,3,48,1.6,14.5,5.4,3,healthy
39.2,5.1,14,5588,7,1,39,1.3,14.5,4.3,2,unhealthy
